OG Model Q12 Q21 Model_conf Parameter_pval Tree_size
OG0000231 ER-white NA NA 0.860215053763441 NA 15
OG0000232 ER 0.000717534926659472 NA 0.795918367346939 0.3100525699695 39
OG0000233 ARD 0.00246026030162864 0.00983346138250691 0.18 0.371780886000445 28
OG0000234 ER 0.00058143949368721 NA 0.731182795698925 0.380288085300474 33
OG0000235 ER 0.000778379675563266 NA 0.888888888888889 0.680690751476884 9
OG0000237 ER 0.00432432270715735 NA 0.77 0.534444171726588 19
OG0000238 ER-white NA NA 0.42 NA 11
OG0000239 ARD 0.000786308461305248 0.00295743192322137 0.13265306122449 0.505050505050505 30
OG0000240 ER 9.67517454589058e-05 NA 0.868421052631579 0.899650953948472 30
OG0000241 ER-white NA NA 0.7 NA 19
OG0000242 ER-white NA NA 0.87 NA 40
OG0000243 ER 0.00795966185373979 NA 0.66 0.455445544554455 21
OG0000245 ER-white NA NA 0.89 NA 43
OG0000246 ER 0.00147995865544472 NA 0.86 0.257425742574257 39
OG0000247 ER 0.00225532816153608 NA 0.819148936170213 0.731371007802381 10
OG0000248 ER-white NA NA 0.85 NA 23
OG0000250 ER 0.000153231524896594 NA 0.802816901408451 0.712370578734483 42
OG0000251 ER 0.000793800584626619 NA 0.731958762886598 0.432812212064954 26
OG0000252 ER-white NA NA 0.66 NA 20
OG0000253 ER 0.000647314959438543 NA 0.76530612244898 0.401892715527005 25
OG0000254 ER 0.00653737543050979 NA 0.563829787234043 0.873925723913893 6
OG0000255 ER-white NA NA 0.74 NA 16
OG0000256 ER 0.000592572749242195 NA 0.75 0.435353402539395 24
OG0000257 ER 0.000693353592655188 NA 0.673913043478261 0.33923104803739 23
OG0000258 ER 0.000681405941757638 NA 0.717647058823529 0.513995420738835 16
OG0000259 ER-white NA NA 0.62 NA 10
OG0000260 ER 0.00238401141253156 NA 0.307692307692308 0.936602070314118 6
OG0000262 ER-white NA NA 0.8 NA 43
OG0000263 ER 0.0466561272863705 NA 0.46 0.594059405940594 21
OG0000264 ER-white NA NA 0.96 NA 37
OG0000265 ER-white NA NA 0.746031746031746 NA 11
OG0000266 ER-white NA NA 0.66 NA 10
OG0000272 ER-white NA NA 0.934782608695652 NA 36
OG0000273 ER 0.000244989811576013 NA 0.8 0.485432279794181 19
OG0000274 ER-white NA NA 0.762886597938144 NA 25
OG0000275 ER-white NA NA 0.885416666666667 NA 40
OG0000276 ARD 0.000542160047389558 0.00341527883883018 0.193877551020408 0.64212005471034 35
OG0000277 ER-white NA NA 0.591836734693878 NA 5
OG0000278 ER 0.000142843451621581 NA 0.780821917808219 0.928493014598428 43
OG0000279 ER 0.000189580712349535 NA 0.828125 0.663071663629383 33
OG0000280 ARD 0.00134159188275119 0.00532480813367588 0.252525252525253 0.42 35
OG0000281 ER 0.000669758029473291 NA 0.797979797979798 0.443811304257227 33
OG0000282 ER 0.000282626887579528 NA 0.681159420289855 0.558216930335271 17
OG0000283 ARD 0.00115893830843149 0.00617911471167807 0.171717171717172 0.587163742799675 32
OG0000284 ER 8.11062685551096e-05 NA 0.833333333333333 0.622130153866694 40
OG0000285 ER-white NA NA 1 NA 3
OG0000286 ARD 0.00186955521257835 0.00568958049795505 0.29 0.633435984433787 37
OG0000287 ER 0.00105182827590067 NA 0.74 0.0990099009900984 41
OG0000288 ER-white NA NA 0.75 NA 34
OG0000289 ER-white NA NA 0.666666666666667 NA 13
OG0000290 ER-white NA NA 0.55 NA 10
OG0000291 ER-white NA NA 0.73 NA 43
OG0000292 ER 0.0033652590296907 NA 0.88 0.257425742574257 30
OG0000293 ER-white NA NA 0.81 NA 27
OG0000294 ER-white NA NA 0.88 NA 26
OG0000296 ER 0.080683290714793 NA 0.38 0.673267326732673 26
OG0000297 ER-white NA NA 0.74 NA 19
OG0000300 ER 0.00154126291436887 NA 0.83 0.47175063577733 21
OG0000301 ER-white NA NA 0.72 NA 21
OG0000302 ER 0.000269197944153416 NA 0.776119402985075 0.692635051372801 24
OG0000303 ER 0.000916222002795892 NA 0.645161290322581 0.59692631231143 10
OG0000305 ER-white NA NA 0.62 NA 20
OG0000306 ER-white NA NA 0.87 NA 30
OG0000307 ER 9.29138489104294e-05 NA 0.847826086956522 0.86137593478358 35
OG0000308 ER-white NA NA 0.64 NA 18
OG0000309 ER 0.00314329966303747 NA 0.727272727272727 0.505426629563034 16
OG0000310 ER 0.000190351999499695 NA 0.895522388059702 0.451327967200645 34
OG0000311 ER 0.000143619635233626 NA 0.816666666666667 0.720803850783853 42
OG0000312 ER-white NA NA 0.66 NA 13
OG0000313 ER-white NA NA 0.76 NA 29
OG0000315 ER-white NA NA 0.725274725274725 NA 10
OG0000317 ER 0.000919713645434795 NA 0.762886597938144 0.417969080983049 20
OG0000318 ER-white NA NA 0.7 NA 39
OG0000319 ER-white NA NA 0.59 NA 14
OG0000320 ARD 3.50176103451739e-17 0.00267792714083862 0.258064516129032 0.456811464778558 30
OG0000321 ER-white NA NA 0.777777777777778 NA 20
OG0000322 ER-white NA NA 0.907216494845361 NA 37
OG0000323 ER 0.000290544823856978 NA 0.776315789473684 0.548374177447859 38
OG0000324 ARD 0.000453109054538819 0.0141227664968133 0.0508474576271186 0.673165057779263 39
OG0000325 ER-white NA NA 0.6 NA 19
OG0000326 ER 0.000199382545187183 NA 0.791044776119403 0.924649582310218 33
OG0000327 ER 7.98147993253345e-05 NA 0.829268292682927 0.827298146897616 40
OG0000328 ER-white NA NA 0.92 NA 38
OG0000329 ARD 0.00379269427053865 0.00878953020800638 0.28 0.893050087957617 38
OG0000330 ER 0.00120333361541535 NA 0.708333333333333 0.465696162580495 12
OG0000332 ER 0.000623919851542513 NA 0.833333333333333 0.447436237842572 17
OG0000333 ER-white NA NA 0.89 NA 43
OG0000334 ER-white NA NA 0.715789473684211 NA 24
OG0000335 ER-white NA NA 0.68 NA 22
OG0000336 ER-white NA NA 0.918367346938776 NA 21
OG0000337 ER 0.00118705801756393 NA 0.819148936170213 0.50341013732922 21
OG0000338 ER-white NA NA 0.56 NA 10
OG0000339 ER 0.0006495599373506 NA 0.78494623655914 0.409919130393692 18
OG0000340 ER 0.000571372355825943 NA 0.783505154639175 0.348372615275288 32
OG0000341 ER-white NA NA 0.908163265306122 NA 33
OG0000342 ER 0.000199761906869665 NA 0.815384615384615 0.656086873931477 26
OG0000343 ER 0.000446853616372423 NA 0.842696629213483 0.385810342676415 39
OG0000344 ER 0.0127456508255205 NA 0.56 0.514851485148515 20
OG0000345 ER-white NA NA 0.782608695652174 NA 5
OG0000346 ER 0.000594304491660988 NA 0.787234042553192 0.408238132829369 30
OG0000347 ER 0.000870047626764088 NA 0.843373493975904 0.720166502691975 8
OG0000348 ER 0.000322123303031512 NA 0.815384615384615 0.43508368920608 27
OG0000349 ER-white NA NA 0.9 NA 35
OG0000350 ER 0.00261553125602902 NA 0.8 0.502665153185831 16
OG0000351 ER-white NA NA 0.65 NA 10
OG0000352 ER-white NA NA 0.89 NA 32
OG0000353 ARD 0.00127092099293845 0.00352694501567185 0.15 0.930693069306931 30
OG0000354 ER-white NA NA 0.73 NA 29
OG0000355 ER-white NA NA 0.69 NA 21
OG0000356 ARD 0.0998648388841306 0.0998648388841306 1 0.0408163265306115 2
OG0000358 ARD 0.000217998763963381 0.00480381306493549 0.180722891566265 0.720166502691975 32
OG0000359 ER-white NA NA 0.65 NA 9
OG0000360 ER-white NA NA 0.548387096774194 NA 6
