OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0005233 OU 0.0213740467618859 0.00566126227742444 0.94 0.930693069306931 40 4.39348729255355 4.4041408993451
OG0005234 OU 0.0269406546263092 0.0040096936309825 0.93 0.792079207920792 36 3.15766532617455 3.14113789414298
OG0005235 White 4.10381788430156 NA 0.89 0.0198019801980192 31 3.59501368355432 3.64894992396035
OG0005236 White 3.05109113358857 NA 0.91 0.0198019801980192 38 5.21801302524313 5.23239911052623
OG0005237 OU 0.0159240878001728 0.00259904240900958 0.88 0.811881188118812 32 2.52267339949065 2.3108246897079
OG0005238 OU 0.139443294465265 0.0380452235206626 0.19 0.871287128712871 29 3.29313222725359 3.36064873405511
OG0005239 OU 0.0160787013486682 0.00425901118713592 0.87 0.693069306930693 31 3.3308698463924 3.13172139144893
OG0005240 OU 0.0401509745279428 0.010411719807069 0.67 0.930693069306931 39 3.83119022496954 3.8072411868765
OG0005241 OU 0.0161530844533249 0.00231061770622682 0.93 0.772277227722772 39 3.38471497418629 3.24765798640513
OG0005242 OU 0.0178686278017084 0.00377966113515893 0.9 0.95049504950495 38 3.9881709544134 3.6446021334565
OG0005243 Brownian 0.00276074892165811 NA 0.87 0.910891089108911 31 4.61689568554869 4.27615375291733
OG0005244 OU 0.0386452583525631 0.00822211636886435 0.79 0.99009900990099 39 3.90188324290402 3.93215547894763
OG0005245 OU 0.0226500964330192 0.00299255669140563 0.97 0.673267326732673 40 4.33231835966021 4.12118956627163
OG0005246 OU 0.0148093227506548 0.00279287127841373 0.93 0.653465346534653 41 3.90608253570248 3.76404924134885
OG0005247 OU 0.0126224046536781 0.00191974035882551 0.85 0.673267326732673 38 4.4964028827325 4.44133011298682
OG0005248 OU 0.0291002243597696 0.00316028461348896 0.93 0.811881188118812 38 2.721765998051 2.93178323275726
OG0005249 OU 0.0265088547533491 0.00396541414700282 0.94 0.712871287128713 33 3.44883435972148 3.49181175205295
OG0005250 OU 0.045077134862175 0.00693427155010966 0.94 0.99009900990099 39 3.37815295441771 3.38029550063478
OG0005251 OU 0.0221712126933211 0.00357493559636963 0.96 0.752475247524752 41 4.29939173611679 3.9592949960434
OG0005252 Brownian 0.00477907710919495 NA 0.9 0.930693069306931 40 3.752152418003 3.26860234535441
OG0005253 OU 0.0209883973180147 0.0031052004260872 0.98 0.871287128712871 39 3.18336026084739 3.09081498028628
OG0005254 OU 0.0181433386109862 0.0030470429639431 0.93 0.712871287128713 38 4.26452383936379 3.93256224921049
OG0005255 OU 0.0191762136444135 0.0021846111957723 0.89 0.732673267326733 40 3.95598719046834 3.92292238996586
OG0005256 OU 0.0257431526541287 0.00390430433871616 0.98 0.772277227722772 41 4.02798908205831 3.83737314895225
OG0005257 OU 0.0358047886171602 0.00671501943892116 0.8 0.891089108910891 37 3.14983992487866 3.12116205870362
OG0005258 OU 0.0295665506055798 0.0046445577839705 0.91 0.772277227722772 35 3.79702042829324 3.86024431897211
OG0005259 OU 0.0600147477065462 0.00962795093808114 0.7 0.871287128712871 39 3.29549383817896 3.39324826253328
OG0005260 Brownian 0.0033867803305557 NA 0.89 0.871287128712871 40 3.95557161673929 3.8397835081819
OG0005261 OU 0.00811585931728674 0.00237116422971218 0.96 0.514851485148515 40 4.35485109480357 4.40935006111094
OG0005262 OU 0.0233791103061218 0.00416025146191496 0.87 0.712871287128713 31 4.2013566807523 4.6025385535146
OG0005263 OU 0.0171718227872702 0.0022388546482843 0.96 0.693069306930693 41 4.30071221152413 3.96191202185958
OG0005264 OU 0.0291335276798671 0.00757554001964191 0.86 0.851485148514851 42 4.53792526410521 4.61907987359473
OG0005265 OU 0.0406845596436876 0.00670249785984382 0.89 0.871287128712871 39 3.41342188302628 3.57546968514171
OG0005266 OU 0.0338717203611722 0.00343094801372508 0.98 0.792079207920792 39 3.74520091679166 3.88814611801825
