OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0003001 Brownian 0.00245991997866865 NA 0.89 0.653465346534653 10 4.66643679596332 4.65752478497639
OG0003013 Brownian 0.00132111872573222 NA 0.87 0.554455445544554 13 4.08571902830313 4.01593008661372
OG0003033 Brownian 0.00213080853725339 NA 0.9 0.712871287128713 14 5.56884304521202 6.11011355802517
OG0003080 OU 3.44819335142147 0.742649855255881 0 0.893050087957617 10 3.39436233090223 3.52669381900051
OG0003082 White 2.62423550992191 NA 0.97 0.039603960396039 NA 2.55087296143242 2.84230617669948
OG0003091 White 5.20249457331649 NA 0.98 0.0198019801980192 NA 2.37315649236756 2.38536612382006
OG0003100 White 0.189193951050763 NA 1 0.0198019801980192 NA 7.13672475127337 7.25939210090887
OG0003102 Brownian 0.00167691996709336 NA 0.9 0.673267326732673 11 4.34112648474947 4.37000403687194
OG0003117 Brownian 0.00199739208533364 NA 0.83 0.792079207920792 10 5.94988063139868 6.49402534481023
OG0003124 Brownian 0.00797694687015145 NA 0.88 0.752475247524752 14 5.85111821774529 5.51911092018036
OG0003138 White 6.48864952651923 NA 0.94 0.0198019801980192 NA 4.57380276139358 4.62208554022006
OG0003139 Brownian 0.00130302170027721 NA 0.91 0.693069306930693 11 5.1360866250416 4.85600452303539
OG0003151 Brownian 0.00659692032464291 NA 0.88 0.95049504950495 13 5.52427333385414 5.03136704832915
OG0003190 White 0.745743404698205 NA 0.96 0.653465346534653 NA 5.74394477437372 5.76755144062934
OG0003196 OU 0.0453392069411928 0.00833597270224683 0.2 0.930693069306931 15 3.81384168992401 3.98199150698525
OG0003199 Brownian 0.0020318249912561 NA 0.84 0.673267326732673 13 4.85086824700758 4.81827101610136
OG0003201 OU 12.7802316313779 2.2163275743329 0.03 0.752475247524752 14 5.40990076042486 5.45114297607575
OG0003216 White 0.922867402303212 NA 0.94 0.99009900990099 NA 4.03367987600402 4.25207112004934
OG0003217 Brownian 0.000423356757569343 NA 0.89 0.831683168316832 10 3.93596144266217 4.05135093682213
OG0003246 White 0.327623621333562 NA 1 0.0198019801980192 NA 4.30326213229677 4.27315802179496
OG0003263 Brownian 0.00139024942240129 NA 0.88 0.613861386138614 11 4.86969065622483 4.7354230482342
OG0003266 Brownian 0.00317607127474693 NA 0.8 0.772277227722772 10 3.77131215732382 4.27964026524961
OG0003271 OU 0.0267493563052022 0.00929743443560193 0.44 0.811881188118812 15 5.56497489945073 5.65398526987726
OG0003297 Brownian 0.00469084530869417 NA 0.89 0.772277227722772 13 3.99252651066737 3.75740119150857
OG0003342 Brownian 0.00290218047259467 NA 0.75 0.752475247524752 10 3.90531231588228 4.06327265111246
OG0003345 Brownian 0.00217373645237507 NA 0.88 0.673267326732673 10 5.85002748182416 6.22729321348833
OG0003357 Brownian 0.0139117061376339 NA 0.93 0.99009900990099 13 8.25429727299092 7.31391505489441
OG0003391 Brownian 0.00229435249217061 NA 0.92 0.772277227722772 14 4.06858329282772 3.86808389644598
OG0003399 Brownian 0.00387982165834397 NA 0.91 0.633663366336634 12 4.63934148538893 4.82103393219384
OG0003401 Brownian 0.00178633742836807 NA 0.81 0.99009900990099 13 4.6535390030684 4.67988646904237
OG0003408 Brownian 0.00405618652774754 NA 0.9 0.633663366336634 13 4.29290088166783 4.30437557961932
OG0003410 White 0.26743345418768 NA 0.97 0.0594059405940588 NA 4.8022146258995 4.80926497744475
OG0003415 Brownian 0.000834186410496742 NA 0.87 0.673267326732673 13 5.76573519793771 6.08665913915359
OG0003424 Brownian 0.00139768037009373 NA 0.88 0.732673267326733 10 4.64328055503757 4.24165273183861
OG0003452 White 2.80130216371015 NA 0.85 0.0198019801980192 NA 3.98704985312021 4.02297154091077
OG0003455 Brownian 0.00280189867893927 NA 0.91 0.851485148514851 16 4.56166969234308 4.58786907542972
OG0003489 Brownian 0.00239351945257627 NA 0.94 0.712871287128713 11 6.17741435263755 5.96359327557253
OG0003594 White 0.230978599082672 NA 0.94 0.0198019801980192 NA 4.99289757410195 4.99053449335037
OG0003601 Brownian 0.00186052778438532 NA 0.93 0.653465346534653 10 5.7244290126831 6.00278446551235
OG0003620 Brownian 0.00239690247156602 NA 0.91 0.772277227722772 12 4.95233522050874 5.08189467892969
OG0003646 Brownian 0.0040649363082632 NA 0.85 0.613861386138614 13 5.51409611175739 5.97984881445231
OG0003647 Brownian 0.00264575348211656 NA 0.87 0.792079207920792 10 4.864083940941 4.85173642543718
OG0003660 Brownian 0.00376370726534573 NA 0.92 0.712871287128713 13 5.03859936216246 4.96961061337553
OG0003677 Brownian 0.00104712337429835 NA 0.88 0.574257425742574 11 5.16442658539702 4.33844526669269
OG0003686 Brownian 0.00124930839207429 NA 0.9 0.831683168316832 18 4.45910405362823 5.02871157475231
OG0003688 White 0.726785155705262 NA 0.92 0.792079207920792 NA 5.22639018600865 5.20986920777698
OG0003717 Brownian 0.00172801417577191 NA 0.9 0.732673267326733 13 5.01354513218044 4.57432094973794
OG0003719 White 1.95998578925889 NA 0.95 0.0198019801980192 NA 5.07178666734641 5.07412776494457
OG0003726 Brownian 0.0101171828539415 NA 0.89 0.712871287128713 11 5.9732281407607 5.18634583709274
OG0003754 Brownian 0.000584984130993368 NA 0.79 0.831683168316832 12 5.51462367463941 5.33507222564311
OG0003808 Brownian 0.00124735615411698 NA 0.9 0.930693069306931 15 5.04554529093819 4.68321684757715
OG0003813 White 1.68201239055551 NA 0.96 0.0990099009900984 NA 4.61391474029158 4.62451181796601
OG0003823 White 1.15738895266183 NA 0.94 0.534653465346534 NA 4.78157490172223 4.75994505490192
OG0003832 White 4.63622993073103 NA 0.9 0.0198019801980192 NA 6.03123917945742 6.05346187596996
OG0003841 Brownian 0.00669258205421225 NA 0.8 1 12 2.97395197062878 2.72189234988105
OG0003846 Brownian 0.00511998048164284 NA 0.86 0.653465346534653 10 4.1363478989515 4.3763536480837
OG0003866 White 0.799589108402933 NA 0.96 0.772277227722772 NA 4.78684251767523 4.83916354473043
OG0003906 Brownian 0.00282008616130624 NA 0.76 0.594059405940594 12 5.3754976514504 5.56415075315793
OG0003915 White 1.02220015950651 NA 0.95 0.910891089108911 NA 5.49104683258063 5.52114750069126
OG0003931 Brownian 0.00215377231824261 NA 0.9 0.732673267326733 12 4.41732770477855 5.1252974069655
OG0003948 White 0.392337350892804 NA 0.98 0.0990099009900984 NA 4.63038703511753 4.73501411361879
OG0003955 White 2.14371943163365 NA 0.96 0.039603960396039 NA 4.24786772775024 4.24686550271718
OG0003969 Brownian 0.00754957557513734 NA 0.88 0.811881188118812 10 6.29226335282622 6.37997469067105
OG0003970 White 0.0501884001682021 NA 0.99 0.0198019801980192 NA 3.97568062995144 3.93473869006969
OG0004024 Brownian 0.00227381943830102 NA 0.81 0.792079207920792 14 6.88883463011707 6.33576521435069
OG0004025 Brownian 0.000922527168370678 NA 0.89 0.732673267326733 11 3.60029270874639 3.05494806354443
OG0004080 White 0.783552703191181 NA 0.83 0.97029702970297 NA 4.76581283281275 4.75567239371659
OG0004089 White 1.4369544444087 NA 0.97 0.178217821782178 NA 4.90107119262356 4.91142147430033
OG0004096 Brownian 0.0047911268948069 NA 0.78 0.693069306930693 10 5.42039888272111 4.68068857857107
OG0004100 Brownian 0.00220176294946214 NA 0.95 0.653465346534653 11 5.03330687683255 5.27935472602427
OG0004108 White 1.03202620911698 NA 1 0.633663366336634 NA 3.69927598327825 3.62657112606618
OG0004116 Brownian 0.00336665387372129 NA 0.9 0.633663366336634 13 6.72901133788485 6.74566185161776
OG0004133 White 0.890607174204144 NA 0.99 0.99009900990099 NA 4.58193761877981 4.64423468146615
OG0004138 Brownian 0.000893964120332908 NA 0.83 0.732673267326733 13 3.98650455005093 3.43939717595681
OG0004166 White 0.742837667667967 NA 0.95 0.653465346534653 NA 5.1182852514869 5.12814278983063
OG0004168 White 0.751512624680712 NA 0.93 0.673267326732673 NA 3.63015242484661 3.66598757497838
OG0004174 Brownian 0.00521865137297721 NA 0.95 0.772277227722772 15 6.20797325263012 4.92430437020453
OG0004184 Brownian 0.00285501048592221 NA 0.88 0.97029702970297 11 4.4729304116508 4.32324800425427
OG0004210 Brownian 0.00331258735681951 NA 0.89 0.653465346534653 12 4.77664627363776 5.3661211343413
OG0004238 Brownian 0.00232903988284978 NA 0.92 0.653465346534653 12 4.86224769862858 5.5258426072615
OG0004317 Brownian 0.00276020959573165 NA 0.94 0.910891089108911 12 4.78916453397235 4.24835246809448
OG0004328 Brownian 0.0016652941465557 NA 0.94 0.653465346534653 11 4.83603378768531 4.65685463957187
OG0004336 Brownian 0.00322853384311996 NA 0.89 0.772277227722772 14 3.91989743912804 3.46705992889068
OG0004352 OU 0.00587842783558539 0.0112942252646485 0.1 0.633663366336634 12 5.31128179928425 5.41949018593475
OG0004380 Brownian 0.00312125891468114 NA 0.88 0.871287128712871 11 5.45922266929788 5.65623474135666
OG0004393 White 0.413516683011745 NA 0.97 0.198019801980198 NA 5.66470947181992 5.70669838729086
OG0004420 White 0.48441416972572 NA 0.98 0.198019801980198 NA 3.80421140311293 3.8009366548244
OG0004421 Brownian 0.00436777766632751 NA 0.95 0.871287128712871 12 5.36184159359332 5.46352531939487
OG0004482 White 0.517678807615775 NA 0.98 0.297029702970297 NA 4.46422461197306 4.46895092816677
OG0004528 OU 0.021879465678047 0.0159909627768276 0.26 0.811881188118812 15 4.72155463789085 4.80168715424101
OG0004551 White 2.49763125690595 NA 0.93 0.0198019801980192 NA 4.48019967345944 4.49219170471662
OG0004585 Brownian 0.00166281016217408 NA 0.77 0.712871287128713 10 4.29581134909593 4.58522994607871
OG0004604 Brownian 0.00164540078778751 NA 0.87 0.792079207920792 10 4.28571172739553 5.07497998949049
OG0004730 White 0.508451074188863 NA 0.98 0.316831683168316 NA 4.87960480986222 4.87283009625695
OG0004732 Brownian 0.00365039259843359 NA 0.86 0.693069306930693 10 4.18133087058872 3.63201669246741
OG0004759 Brownian 0.00191452139466427 NA 0.84 0.752475247524752 11 5.42011231099538 4.70122654045109
OG0004769 White 0.229813222504576 NA 0.97 0.0594059405940588 NA 4.61376504587763 4.65113799823014
OG0004781 Brownian 0.00439192240016113 NA 0.81 0.732673267326733 10 4.07044461217675 5.45339391023079
OG0004804 Brownian 0.00295666868906105 NA 0.91 0.693069306930693 11 5.09351992840903 5.63661032569018
OG0004816 White 0.605657435066499 NA 0.96 0.435643564356435 NA 5.05979725502549 5.05986502673472
OG0004863 Brownian 0.00343605272192399 NA 0.86 0.752475247524752 11 3.99412326373203 4.54819917013187
OG0004871 Brownian 0.002274808744599 NA 0.88 0.871287128712871 13 4.55021034731375 4.48912797505221
OG0004872 Brownian 0.00334116948720688 NA 0.8 0.693069306930693 10 3.58144024082818 4.21900016835351
OG0004874 White 0.49678860757018 NA 0.88 0.376237623762376 NA 4.15843583153595 4.1928682445292
OG0004919 Brownian 0.00343258786519123 NA 0.87 0.811881188118812 14 4.65058186282277 4.24902669378089
OG0004931 OU 0.0203588726720235 0.00581412129422802 0.19 0.910891089108911 13 5.20444519211146 5.33352485676095
OG0004949 Brownian 0.00218988673039431 NA 0.93 0.673267326732673 10 4.94127986641299 4.7314470138324
OG0004960 White 0.154584836056902 NA 0.97 0.039603960396039 NA 4.71955637419833 4.72901050677153
OG0004987 OU 0.0170612611745701 0.00490655434886732 0.46 0.95049504950495 16 5.87021047937633 6.28902156120652
OG0004990 Brownian 0.001954315290006 NA 0.87 0.653465346534653 12 4.24945109912139 4.27816251850515
OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0011687 Brownian 0.00181693704524801 NA 0.77 0.613861386138614 12 4.58983166797122 5.34620889216785
OG0012203 Brownian 0.00147413803769326 NA 0.75 0.554455445544554 11 5.37185403424585 5.74394679294067
OG0012253 White 0.129596822872183 NA 0.96 0.0198019801980192 10 5.70652606112891 5.75581128656751
OG0012371 OU 0.000907158332930428 6.76248264207341e-217 0.97 0.0594059405940588 11 4.67432076520302 4.94102992481208
OG0012387 OU 0.550003276363774 1.95364575864746 0 0.99009900990099 10 4.13105123463035 4.20997132410799
OG0013018 White 0.494802908902439 NA 0.96 0.198019801980198 11 4.33370368281685 4.37079570694994
OG0013023 White 0.0337911318118698 NA 0.95 0.0198019801980192 10 7.35394221567288 7.35834429291984
OG0013093 Brownian 0.00192144003496767 NA 0.82 0.732673267326733 10 4.34454670755078 4.96567024124851
OG0013173 White 0.226820576623576 NA 0.97 0.039603960396039 10 5.5465882275451 5.59323716668491
OG0013766 White 1.16807301014856 NA 0.98 0.455445544554455 11 3.98698039072792 3.99073796513855
OG0013790 White 0.159183673443153 NA 0.99 0.0198019801980192 10 7.02094077268145 7.01037561230778
OG0013994 OU 0.0361706565593964 0.0547122280796546 0 0.792079207920792 10 5.41555840836162 5.50180090750005
